
    Row    Instance         XX         YY         ZZ         TT         TY 
        0       149  0.0080983  0.0507247  -0.004237  70.361648          4 
        0       150  0.0076783  0.0583223  0.0125669  70.857543          4 
        0       151  0.0088489  0.0608702  0.0117353  78.553802          4 
        0       152  0.0119528  0.0530940  -0.001910  82.192245          4 
        0       153  0.0065420  0.0637026  0.0102521  83.567268          4 
        0       154  0.0146008  0.0544374  -0.004147  88.808830          4 
        0       155  0.0141673  0.0568951  -0.003561  92.656166          4 
        0       156  0.0168879  0.0583542  -0.004122  97.341308          4 
        0       157  0.0135660  0.0623005  -0.007649  106.85855          4 
        0       158  0.0118212  0.0653563  -0.006668  111.58367          4 
        0       159  0.0126010  0.0683910  0.0118697  112.98996          4 
        0       160  0.0135635  0.0730979  0.0174273  127.03370          4 
        0       161  0.0060851  0.0737487  -0.005674  148.51228          4 
